"freq","spec"
0.025,8645727.2152079
0.05,2732046.32186613
0.175,263361.135818394
0.1,211021.631934694
0.45,133951.607633262
0.275,98546.9228563355
0.125,92996.4417237133
0.225,72198.6938151838
0.5,47818.2298223205
0.25,40650.5156009772
0.4,24824.4055313883
0.35,24357.8527734634
0.075,21967.7429014473
0.475,19789.2085870556
0.2,16037.613654635
0.425,12501.8970978253
0.375,12257.8550124627
0.15,11104.6578668771
0.325,5829.31016614144
0.3,5626.41401455784
